"","X","Range.ID","Range","Province","Ecotype","Loss","Loss_perc","Loss_rate","Gain","Gain_perc","Net_change","Gain_rate","Harvest","Fire","Other","Range_area","Harvest_perc","Fire_perc","Other_perc","Harv_rate","Other_rate","Fire_rate"
"57",57,"57","Caribou Mountains","AB","B",1963.2,9.5,0.53,89.23,0.43,-5.6,0.04,79.13,1498.55,192.26,20658.73,0.383034194,7.253834093,0.930647721,0.0255356129333333,0.0620431814,0.483588939533333
"58",58,"58","Chinchaga_AB","AB","B",838.88,4.75,0.26,138.1,0.78,-1.87,0.07,265.57,255.49,127.11,17643.64,1.505188272,1.448057204,0.720429571,0.1003458848,0.0480286380666667,0.0965371469333333
"59",59,"59","Cold Lake","AB","B",463.09,6.89,0.38,20.09,0.3,-3.8,0.02,69.33,282.02,93.73,6725.86,1.030797549,4.193069734,1.393576435,0.0687198366,0.0929050956666667,0.279537982266667
"60",60,"60","East Side Athabasca","AB","B",1959.03,14.93,0.83,171.52,1.31,-6.88,0.11,235.74,952.59,166.61,13119.02,1.796933003,7.261136884,1.269988155,0.119795533533333,0.084665877,0.484075792266667
"61",61,"61","Little Smoky","AB","B",420.24,13.63,0.76,132.53,4.3,-3.51,0.36,239.27,17.41,80.85,3083.8,7.758933783,0.564563201,2.621765354,0.5172622522,0.174784356933333,0.0376375467333333
"62",62,"62","Nipisi","AB","B",191.06,9.08,0.5,27.45,1.3,-1.57,0.11,70.05,55.53,27.8,2104.36,3.328803057,2.638807048,1.321066738,0.2219202038,0.0880711158666667,0.175920469866667
"63",63,"63","Red Earth","AB","B",2408.7,9.75,0.54,182.2,0.74,-4.09,0.06,108.85,1731.92,227.02,24702.03,0.440652044,7.011245634,0.91903378,0.0293768029333333,0.0612689186666667,0.4674163756
"64",64,"64","Richardson","AB","B",1852.5,26.19,1.45,34.7,0.49,-25.17,0.04,6.93,1766.32,65.71,7073.9,0.097965761,24.9695359,0.928907675,0.00653105073333333,0.0619271783333333,1.66463572666667
"65",65,"65","Slave Lake","AB","B",258.86,17.07,0.95,21.55,1.42,-11.99,0.12,41.28,156.13,41.99,1516.23,2.722542095,10.29725042,2.769368763,0.181502806333333,0.1846245842,0.686483361333333
"66",66,"66","West Side Athabasca","AB","B",868.62,5.53,0.31,41.33,0.26,-2.28,0.02,103.43,269.55,95.85,15707.12,0.658491181,1.716100724,0.610232812,0.0438994120666667,0.0406821874666667,0.114406714933333
"67",67,"67","Yates","AB","B",464.74,8.9,0.49,9.66,0.19,-8.15,0.02,10.25,387.19,59.05,5223.44,0.196230836,7.412548053,1.130481062,0.0130820557333333,0.0753654041333333,0.4941698702
"68",68,"68","Banff","AB","SM_CG",57.96,2.56,0.14,6.4,0.28,0,0.02,0.65,31.81,7.17,2262.43,0.028730171,1.406010352,0.316915882,0.00191534473333333,0.0211277254666667,0.0937340234666667
"69",69,"69","Jasper","AB","SM_CG",16.61,0.48,0.03,2.74,0.08,-0.12,0.01,0.03,6.98,6.35,3437.34,0.000872768,0.203063997,0.184735871,5.81845333333333e-05,0.0123157247333333,0.0135375998
"70",70,"70a","A La Peche","AB","SM_CG",335.75,5.08,0.28,88.94,1.34,-1.29,0.11,100.46,159.25,43.64,6615,1.51866969,2.407407407,0.659712774,0.101244646,0.0439808516,0.160493827133333
"71",71,"70b","Narraway_AB","AB","SM_CG",226.91,21.8,1.21,18.4,1.77,-14.79,0.15,160.38,32.23,32.3,1040.66,15.41137355,3.097073011,3.103799512,1.02742490333333,0.206919967466667,0.206471534066667
"72",72,"70c","Redrock-Prairie Creek","AB","SM_CG",309.75,6.41,0.36,95.54,1.98,-3.38,0.16,118.81,121.69,52.53,4828.92,2.460384517,2.520025182,1.087820879,0.164025634466667,0.0725213919333333,0.1680016788
