"","X","Range","Year","Province","Ecotype","Range_area","LOW.IMPACT.SEISMIC","PIPELINE","TOTAL","TRANSMISSION.LINE","ROADS_ALL","OTHER","CONVENTIONAL.SEISMIC_ALL","Conventional_seismic_den","Low_impact_seismic_den","Pipeline_den","Transmission_line_den","Roads_den","Other_den","Total_den","Seismic_all","Seismic_all_den"
"36",33,"East Side Athabasca",2015,"AB","B",13119.02,15617940,4003500,41327910,211630,965870,3413510,17115450,1304.6286993998,1190.48069139311,305.167611605135,16.1315403132246,73.6236395706387,260.195502407954,3150.22844694192,32733390,2495.10939079291
"37",39,"Jasper",2015,"AB","SM_CG",3437.34,0,12990,239810,13890,119740,93190,0,0,0,3.77908499013772,4.04091535896944,34.8350759598992,27.1110800793637,69.7661563883701,0,0
"38",45,"Little Smoky",2015,"AB","B",3083.8,191590,1711700,13403510,30710,1094920,2217200,8157390,2645.23963940593,62.1278941565601,555.061936571762,9.95849276866204,355.055451066866,718.98307283222,4346.426486802,8348980,2707.36753356249
"39",51,"Nipisi",2015,"AB","B",2104.36,128910,587000,5003690,18690,174230,736790,3358070,1595.76783440096,61.2585299093311,278.944667262256,8.88156018932122,82.7947689558821,350.125453819689,2377.77281453744,3486980,1657.02636431029
"40",57,"Red Earth",2015,"AB","B",24702.03,2716160,2420700,50477150,75960,1614350,4511260,39138710,1584.43293931713,109.956954954714,97.9959946611675,3.07505091686797,65.3529284840153,182.627095829776,2043.4413689887,41854870,1694.38989427185
"41",63,"Richardson",2015,"AB","B",7073.9,3199160,84270,7079370,7290,257890,2088940,1441820,203.822502438542,452.248406112611,11.9128062313575,1.0305489192666,36.4565515486507,295.30244985086,1000.77326510129,4640980,656.070908551153
"42",69,"Slave Lake",2015,"AB","B",1516.23,1440,848790,5086980,24080,361130,790650,3060890,2018.75045342725,0.949723986466433,559.802932272808,15.8814955514665,238.176266133766,521.457826319226,3355.01869769098,3062330,2019.70017741372
"43",75,"West Central",2015,"AB","SM_CG",12484.58,65990,1677630,11077830,29580,2084110,3283150,3937380,315.379452092101,5.28572046476533,134.376166438919,2.36932279660189,166.934730683772,262.976407696534,887.320999184594,4003370,320.665172556866
"44",81,"West Side Athabasca",2015,"AB","B",15707.12,6501270,3410880,34212440,239830,1306440,2389520,20364510,1296.51457428224,413.905922919033,217.155022690347,15.2688716964027,83.1750187176261,152.12973479543,2178.14850844712,26865780,1710.42049720127
"45",87,"Yates",2015,"AB","B",5223.44,0,31590,6025340,0,28860,524850,5440030,1041.46501156326,0,6.04773865498599,0,5.5250945736909,100.479760464368,1153.51951970349,5440030,1041.46501156326
"46",4,"Banff",2016,"AB","SM_CG",2262.43,0,0,200130,1950,55440,142740,0,0,0,0,0.861905119716411,24.5046255574758,63.0914547632413,88.4579854404335,0,0
"47",10,"Bischto",2016,"AB","B",14358.1,1282810,2228690,65329990,0,972840,4270490,56575170,3940.29641804974,89.3439939824907,155.22179118407,0,67.7554829678021,297.427236194204,4550.04422590733,57857980,4029.64041203223
"48",16,"Caribou Mountains",2016,"AB","B",20658.73,149400,0,10426620,0,512420,2491250,7273550,352.081178271849,7.23180950619907,0,0,24.8040416811682,120.5906655443,504.707695003517,7422950,359.312987778048
"49",22,"Chinchaga_AB",2016,"AB","B",17643.64,765390,4327570,67894420,340640,1922470,7632360,53018660,3004.9728967492,43.38050424969,245.276484897674,19.3066736795809,108.961076059135,432.584205980172,3848.09597112614,53784050,3048.35340099889
"50",28,"Cold Lake",2016,"AB","B",6725.86,4300040,2792080,16031050,178770,724240,1181230,6939780,1031.80559809452,639.32939430794,415.126095398953,26.5795006140479,107.679910078414,175.625124519392,2383.494452754,11239820,1671.13499240246
"51",34,"East Side Athabasca",2016,"AB","B",13119.02,15620290,4046770,41373540,211630,979730,3416790,17117760,1304.80477962531,1190.65982062685,308.465876262099,16.1315403132246,74.6801209236665,260.44552108313,3153.70660308468,32738050,2495.46460025215
"52",40,"Jasper",2016,"AB","SM_CG",3437.34,0,12990,225920,13890,119740,93190,0,0,0,3.77908499013772,4.04091535896944,34.8350759598992,27.1110800793637,65.7252410294006,0,0
"53",46,"Little Smoky",2016,"AB","B",3083.8,191590,1734290,13427740,30710,1098990,2217200,8157390,2645.23963940593,62.1278941565601,562.387314352422,9.95849276866204,356.375251313315,718.98307283222,4354.28367598417,8348980,2707.36753356249
"54",52,"Nipisi",2016,"AB","B",2104.36,128910,587000,5003940,18690,174230,737040,3358070,1595.76783440096,61.2585299093311,278.944667262256,8.88156018932122,82.7947689558821,350.244254785303,2377.89161550305,3486980,1657.02636431029
"55",58,"Red Earth",2016,"AB","B",24702.03,2716160,2420700,50487030,75960,1622980,4512510,39138710,1584.43293931713,109.956954954714,97.9959946611675,3.07505091686797,65.7022924836542,182.677698958345,2043.84133611691,41854870,1694.38989427185
"56",64,"Richardson",2016,"AB","B",7073.9,3258620,84270,7140750,7290,257890,2088940,1443740,204.093922730036,460.653953264819,11.9128062313575,1.0305489192666,36.4565515486507,295.30244985086,1009.45023254499,4702360,664.747875994854
